fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
31,uam_st_31_fa,54,uam_st_54_fa,58302.7053309951,1200.0
31,uam_st_31_fa,73,uam_st_73_fa,25266.544648798892,1200.0
31,uam_st_31_fa,58,uam_st_58_fa,76927.53859778718,1200.0
31,uam_st_31_fa,60,uam_st_60_fa,49730.674935629606,1200.0
31,uam_st_31_fa,21,uam_st_21_fa,43343.83359165372,1200.0
31,uam_st_31_fa,15,uam_st_15_fa,35005.46224934897,1200.0
31,uam_st_31_fa,40,uam_st_40_fa,55561.99741024232,1200.0
31,uam_st_31_fa,19,uam_st_19_fa,42278.315863599346,1200.0
31,uam_st_31_fa,44,uam_st_44_fa,28892.132763003865,1200.0
31,uam_st_31_fa,67,uam_st_67_fa,69710.52825651744,1200.0
31,uam_st_31_fa,2,uam_st_2_fa,31018.42254434026,1200.0
31,uam_st_31_fa,70,uam_st_70_fa,98170.92882584262,1200.0
31,uam_st_31_fa,38,uam_st_38_fa,67623.39519163077,1200.0
31,uam_st_31_fa,63,uam_st_63_fa,52587.64518108197,1200.0
31,uam_st_31_fa,11,uam_st_11_fa,62582.116034864,1200.0
31,uam_st_31_fa,34,uam_st_34_fa,26500.04470212055,1200.0
31,uam_st_31_fa,6,uam_st_6_fa,40143.568455639535,1200.0
31,uam_st_31_fa,53,uam_st_53_fa,52081.26923850677,1200.0
31,uam_st_31_fa,8,uam_st_8_fa,23150.834639154957,1200.0
31,uam_st_31_fa,32,uam_st_32_fa,11253.987258107401,1200.0
31,uam_st_31_fa,26,uam_st_26_fa,18482.314428432393,1200.0
31,uam_st_31_fa,57,uam_st_57_fa,72518.22694305192,1200.0
31,uam_st_31_fa,47,uam_st_47_fa,44446.323435250575,1200.0
31,uam_st_31_fa,22,uam_st_22_fa,38898.40620769164,1200.0
31,uam_st_31_fa,16,uam_st_16_fa,59537.66616364839,1200.0
31,uam_st_31_fa,37,uam_st_37_fa,54212.63659327133,1200.0
31,uam_st_31_fa,68,uam_st_68_fa,84153.02846324907,1200.0
31,uam_st_31_fa,43,uam_st_43_fa,14586.556719830602,1200.0
31,uam_st_31_fa,64,uam_st_64_fa,62599.996215398285,1200.0
31,uam_st_31_fa,71,uam_st_71_fa,66939.49945278568,1200.0
31,uam_st_31_fa,3,uam_st_3_fa,27522.696514251555,1200.0
31,uam_st_31_fa,12,uam_st_12_fa,76549.55343604516,1200.0
31,uam_st_31_fa,33,uam_st_33_fa,53945.328219909774,1200.0
31,uam_st_31_fa,27,uam_st_27_fa,43744.197982053935,1200.0
31,uam_st_31_fa,52,uam_st_52_fa,40575.11670010691,1200.0
31,uam_st_31_fa,7,uam_st_7_fa,42525.84885483792,1200.0
31,uam_st_31_fa,56,uam_st_56_fa,67490.48536823166,1200.0
31,uam_st_31_fa,23,uam_st_23_fa,22243.561053242334,1200.0
31,uam_st_31_fa,65,uam_st_65_fa,79420.12272823717,1200.0
31,uam_st_31_fa,17,uam_st_17_fa,58142.28571229262,1200.0
